Magn	Outl	SEM	All	Right	SEM_1	All_s	Right_s
Small	0	0.044372582	127.47	65.87	2.463215882	24.53	0.27
Small	0.1	3.912538875	10.67	0.13	5.63354651	9.2	0.07
Small	0.3	10.38985859	0.67	0	12.12090457	0.2	0
Medium	0	0.051225804	127.8	94	2.806623968	40.33	1.6
Medium	0.1	3.471372049	11.73	0.07	5.070754102	9.53	0.07
Medium	0.3	10.5668157	0.67	0.13	11.94889003	0.4	0
Large	0	0.091695402	127.13	97.2	4.498637528	105	52.73
Large	0.1	5.403440452	61.47	19.13	6.401532605	26.2	4.8
Large	0.3	11.35254469	19.27	1.33	12.69631469	16.07	0.47
Huge	0	0.128077227	124.6	97.67	4.492535158	105.93	74.33
Huge	0.1	6.707298529	94.33	48.2	9.38304914	81.13	30.8
Huge	0.3	14.19094478	50.87	7.53	14.65011446	38.67	3.87
